"Suburb","Number of Sales","Median Sale Price","Difference Between Sales Price and CV","Capital Value Date"
"Ahikouka","1","$687,000","28.0%","Sep 2014"
"Cape Palliser","0","$0",".0%","Sep 2014"
"Featherston","20","$203,000","10.0%","Sep 2014"
"Greytown","30","$413,000","9.0%","Sep 2014"
"Martinborough","20","$314,000","4.0%","Sep 2014"
"Morrisons Bush","0","$0",".0%","Sep 2014"
"Pirinoa","0","$0",".0%","Sep 2014"
"South Featherston","1","$182,000","-17.0%","Sep 2014"
"Tora","1","$235,000","17.0%","Sep 2014"
