"Suburb","Number of Sales","Median Sale Price","Difference Between Sales Price and CV","Capital Value Date"
"Arapuni","5","$269,000","17.0%","Jul 2015"
"Putaruru","44","$208,500","22.0%","Jul 2015"
"Tirau","7","$287,000","27.0%","Jul 2015"
"Tokoroa","88","$128,750","15.0%","Jul 2015"
