"Suburb","Number of Sales","Median Sale Price","Difference Between Sales Price and CV","Capital Value Date"
"Kotemaori","1","$52,000","20.0%","Aug 2015"
"Mahia","5","$296,000","3.0%","Aug 2015"
"Muriwai","0","$0",".0%","Aug 2015"
"Raupunga","1","$43,000","-25.0%","Aug 2015"
"Wairoa","13","$89,000",".0%","Aug 2015"
