"Suburb","Number of Sales","Median Sale Price","Difference Between Sales Price and CV","Capital Value Date"
"Glenavy","1","$230,000","4.0%","Jul 2013"
"Kurow","8","$212,000","11.0%","Jul 2013"
"Makikihi","1","$164,000","9.0%","Jul 2013"
"Morven","0","$0",".0%","Jul 2013"
"Tekapo","0","$0",".0%","Jul 2013"
"Waihao Downs","0","$0",".0%","Jul 2013"
"Waimate","20","$173,500","8.0%","Jul 2013"
