"Suburb","Number of Sales","Median Sale Price","Difference Between Sales Price and CV","Capital Value Date"
"East Gore","12","$142,250","6.0%","Aug 2013"
"Gore","32","$217,000","2.0%","Aug 2013"
"Mataura","17","$86,000","9.0%","Aug 2013"
"Pukerau","0","$0",".0%","Aug 2013"
"Waikaka","1","$97,000","34.0%","Aug 2013"
