"Suburb","Number of Sales","Median Sale Price","Difference Between Sales Price and CV","Capital Value Date"
"Opotiki","24","$180,500","24.0%","Sep 2013"
"Otara","1","$114,500","7.0%","Sep 2013"
"Te Kaha","2","$471,000","-9.0%","Sep 2013"
"Waihau Bay","0","$0",".0%","Sep 2013"
"Waiotahi","2","$373,500","21.0%","Sep 2013"
