"Suburb","Number of Sales","Median Sale Price","Difference Between Sales Price and CV","Capital Value Date"
"Benneydale","3","$34,000","2.0%","Sep 2015"
"Mangaotaki","1","$229,000","1.0%","Sep 2015"
"Otorohanga","25","$244,000","28.0%","Sep 2015"
"Piopio","4","$95,750","-8.0%","Sep 2015"
"Taharoa","0","$0",".0%","Sep 2015"
"Te Kuiti","27","$152,500","14.0%","Sep 2015"
