"Suburb","Number of Sales","Median Sale Price","Difference Between Sales Price and CV","Capital Value Date"
"Kaikoura","16","$323,000","3.0%","Sep 2015"
"Kaikoura Flat","2","$467,000","-1.0%","Sep 2015"
"South Bay","3","$457,000","-4.0%","Sep 2015"
