"Suburb","Number of Sales","Median Sale Price","Difference Between Sales Price and CV","Capital Value Date"
"Fairlie","5","$236,000","11.0%","Jul 2014"
"Kimbell","1","$219,000","-14.0%","Jul 2014"
"Lake Tekapo","10","$497,250","19.0%","Jul 2014"
"Tekapo","0","$0",".0%","Jul 2014"
"Twizel","11","$269,000","20.0%","Jul 2014"
