"Suburb","Number of Sales","Median Sale Price","Difference Between Sales Price and CV","Capital Value Date"
"Castlepoint","4","$488,000","-3.0%","Sep 2014"
"Eketahuna","6","$137,250","12.0%","Sep 2014"
"Kuripuni","17","$223,000","12.0%","Sep 2014"
"Lansdowne","36","$259,500","8.0%","Sep 2014"
"Masterton","57","$213,000","4.0%","Sep 2014"
"Riversdale Beach","5","$329,000","2.0%","Sep 2014"
"Solway","32","$231,000","2.0%","Sep 2014"
"Tinui","1","$115,000","15.0%","Sep 2014"
