"Suburb","Number of Sales","Median Sale Price","Difference Between Sales Price and CV","Capital Value Date"
"Midhirst","0","$0",".0%","Sep 2014"
"Ngaere","1","$173,000","8.0%","Sep 2014"
"Pembroke","3","$263,000","17.0%","Sep 2014"
"Stratford","42","$223,000","7.0%","Sep 2014"
"Tariki","0","$0",".0%","Sep 2014"
