"Suburb","Number of Sales","Median Sale Price","Difference Between Sales Price and CV","Capital Value Date"
"Kawhia","6","$308,000","11.0%","Aug 2013"
"Kihikihi","21","$299,000","30.0%","Aug 2013"
"Mangakino","19","$131,000",".0%","Aug 2013"
"Otorohanga","25","$244,000","28.0%","Aug 2013"
"Pirongia","2","$490,500","28.0%","Aug 2013"
