Area,Usual residence five years ago,Age group,Sex,Value,Flags
"Orakei Local Board Area","Total people, usual residence five years ago","Total people, age group","Total people, sex",79536,
"Puketapapa Local Board Area","Total people, usual residence five years ago","Total people, age group","Total people, sex",52938,
"Albert-Eden Local Board Area","Total people, usual residence five years ago","Total people, age group","Total people, sex",94695,
"Whau Local Board Area","Total people, usual residence five years ago","Total people, age group","Total people, sex",72594,
"Waitemata Local Board Area","Total people, usual residence five years ago","Total people, age group","Total people, sex",77136,
"Waiheke Local Board Area","Total people, usual residence five years ago","Total people, age group","Total people, sex",8340,
"Great Barrier Local Board Area","Total people, usual residence five years ago","Total people, age group","Total people, sex",939,
"Waitakere Ranges Local Board Area","Total people, usual residence five years ago","Total people, age group","Total people, sex",48399,
"Henderson-Massey Local Board Area","Total people, usual residence five years ago","Total people, age group","Total people, sex",107685,
"Devonport-Takapuna Local Board Area","Total people, usual residence five years ago","Total people, age group","Total people, sex",55470,
"Kaipatiki Local Board Area","Total people, usual residence five years ago","Total people, age group","Total people, sex",82494,
"Upper Harbour Local Board Area","Total people, usual residence five years ago","Total people, age group","Total people, sex",53670,
"Hibiscus and Bays Local Board Area","Total people, usual residence five years ago","Total people, age group","Total people, sex",89832,
"Rodney Local Board Area","Total people, usual residence five years ago","Total people, age group","Total people, sex",54879,
"Auckland","Total people, usual residence five years ago","Total people, age group","Total people, sex",1415550,
"Kaipara District","Total people, usual residence five years ago","Total people, age group","Total people, sex",18963,
"Ahipara","Total people, usual residence five years ago","Total people, age group","Total people, sex",1065,
"North Cape","Total people, usual residence five years ago","Total people, age group","Total people, sex",441,
"Houhora","Total people, usual residence five years ago","Total people, age group","Total people, sex",933,
"Motutangi-Kareponia","Total people, usual residence five years ago","Total people, age group","Total people, sex",1791,
"Kaitaia West","Total people, usual residence five years ago","Total people, age group","Total people, sex",3093,
"Kaitaia East","Total people, usual residence five years ago","Total people, age group","Total people, sex",1797,
"Kaeo","Total people, usual residence five years ago","Total people, age group","Total people, sex",456,
"Mangapa-Matauri Bay","Total people, usual residence five years ago","Total people, age group","Total people, sex",2517,
"Kohukohu","Total people, usual residence five years ago","Total people, age group","Total people, sex",168,
"Rawene","Total people, usual residence five years ago","Total people, age group","Total people, sex",471,
"Omapere and Opononi","Total people, usual residence five years ago","Total people, age group","Total people, sex",414,
"Hokianga North","Total people, usual residence five years ago","Total people, age group","Total people, sex",1689,
"Hokianga South","Total people, usual residence five years ago","Total people, age group","Total people, sex",2568,
"Kerikeri","Total people, usual residence five years ago","Total people, age group","Total people, sex",6504,
"Russell","Total people, usual residence five years ago","Total people, age group","Total people, sex",720,
"Paihia","Total people, usual residence five years ago","Total people, age group","Total people, sex",1722,
"Haruru Falls","Total people, usual residence five years ago","Total people, age group","Total people, sex",867,
"Opua East","Total people, usual residence five years ago","Total people, age group","Total people, sex",294,
"Kawakawa","Total people, usual residence five years ago","Total people, age group","Total people, sex",1221,
"Moerewa","Total people, usual residence five years ago","Total people, age group","Total people, sex",1431,
"Opua West","Total people, usual residence five years ago","Total people, age group","Total people, sex",255,
"Bay of Islands","Total people, usual residence five years ago","Total people, age group","Total people, sex",9,
"Kapiro","Total people, usual residence five years ago","Total people, age group","Total people, sex",2685,
"Waitangi","Total people, usual residence five years ago","Total people, age group","Total people, sex",813,
