Area,Usual residence five years ago,Age group,Sex,Value,Flags
"Te Kaha","Total people, usual residence five years ago","Total people, age group","Total people, sex",387,
"Cape Runaway","Total people, usual residence five years ago","Total people, age group","Total people, sex",1149,
"Oponae","Total people, usual residence five years ago","Total people, age group","Total people, sex",294,
"Inlet-Ohiwa Harbour East","Total people, usual residence five years ago","Total people, age group","Total people, sex",0,
"Waiotahi","Total people, usual residence five years ago","Total people, age group","Total people, sex",2730,
"East Cape","Total people, usual residence five years ago","Total people, age group","Total people, sex",2415,
"Ruatoria","Total people, usual residence five years ago","Total people, age group","Total people, sex",750,
"Tokomaru Bay","Total people, usual residence five years ago","Total people, age group","Total people, sex",390,
"Tarndale-Rakauroa","Total people, usual residence five years ago","Total people, age group","Total people, sex",1491,
"Te Karaka","Total people, usual residence five years ago","Total people, age group","Total people, sex",483,
"Patutahi","Total people, usual residence five years ago","Total people, age group","Total people, sex",345,
"Makaraka","Total people, usual residence five years ago","Total people, age group","Total people, sex",1203,
"Matokitoki","Total people, usual residence five years ago","Total people, age group","Total people, sex",534,
"Wainui","Total people, usual residence five years ago","Total people, age group","Total people, sex",1680,
"Wharekaka","Total people, usual residence five years ago","Total people, age group","Total people, sex",1791,
"Tiniroto","Total people, usual residence five years ago","Total people, age group","Total people, sex",2007,
"Manutuke","Total people, usual residence five years ago","Total people, age group","Total people, sex",522,
"Tolaga Bay","Total people, usual residence five years ago","Total people, age group","Total people, sex",765,
"Mangapapa","Total people, usual residence five years ago","Total people, age group","Total people, sex",4194,
"Te Hapara","Total people, usual residence five years ago","Total people, age group","Total people, sex",4380,
"Gisborne Airport","Total people, usual residence five years ago","Total people, age group","Total people, sex",2622,
"Whataupoko","Total people, usual residence five years ago","Total people, age group","Total people, sex",3642,
"Gisborne Central","Total people, usual residence five years ago","Total people, age group","Total people, sex",3189,
"Kaiti North","Total people, usual residence five years ago","Total people, age group","Total people, sex",1971,
"Outer Kaiti","Total people, usual residence five years ago","Total people, age group","Total people, sex",2247,
"Kaiti South","Total people, usual residence five years ago","Total people, age group","Total people, sex",2655,
"Tamarau","Total people, usual residence five years ago","Total people, age group","Total people, sex",2268,
"Riverdale","Total people, usual residence five years ago","Total people, age group","Total people, sex",2106,
"Tuai","Total people, usual residence five years ago","Total people, age group","Total people, sex",219,
"Frasertown","Total people, usual residence five years ago","Total people, age group","Total people, sex",252,
"Ruakituri-Morere","Total people, usual residence five years ago","Total people, age group","Total people, sex",705,
"Maungataniwha","Total people, usual residence five years ago","Total people, age group","Total people, sex",318,
"Inland Water-Lake Waikaremoana","Total people, usual residence five years ago","Total people, age group","Total people, sex",0,
"Raupunga","Total people, usual residence five years ago","Total people, age group","Total people, sex",630,
"Whakaki","Total people, usual residence five years ago","Total people, age group","Total people, sex",729,
"Nuhaka","Total people, usual residence five years ago","Total people, age group","Total people, sex",261,
"Mahia","Total people, usual residence five years ago","Total people, age group","Total people, sex",720,
"Wairoa","Total people, usual residence five years ago","Total people, age group","Total people, sex",4053,
"Twyford","Total people, usual residence five years ago","Total people, age group","Total people, sex",1065,
"Karamu","Total people, usual residence five years ago","Total people, age group","Total people, sex",1404,
"Whakatu","Total people, usual residence five years ago","Total people, age group","Total people, sex",825,
"Clive","Total people, usual residence five years ago","Total people, age group","Total people, sex",1764,
"Haumoana","Total people, usual residence five years ago","Total people, age group","Total people, sex",2256,
"Brookvale","Total people, usual residence five years ago","Total people, age group","Total people, sex",576,
"Irongate","Total people, usual residence five years ago","Total people, age group","Total people, sex",483,
"Longlands South","Total people, usual residence five years ago","Total people, age group","Total people, sex",951,
"Tangoio","Total people, usual residence five years ago","Total people, age group","Total people, sex",702,
"Eskdale","Total people, usual residence five years ago","Total people, age group","Total people, sex",624,
"Sherenden-Puketapu","Total people, usual residence five years ago","Total people, age group","Total people, sex",2724,
"Omahu","Total people, usual residence five years ago","Total people, age group","Total people, sex",351,
"Waiohiki","Total people, usual residence five years ago","Total people, age group","Total people, sex",354,
"Pakowhai","Total people, usual residence five years ago","Total people, age group","Total people, sex",609,
"Maraekakaho","Total people, usual residence five years ago","Total people, age group","Total people, sex",1287,
"Bridge Pa","Total people, usual residence five years ago","Total people, age group","Total people, sex",1149,
"Poukawa","Total people, usual residence five years ago","Total people, age group","Total people, sex",1293,
"Pakipaki","Total people, usual residence five years ago","Total people, age group","Total people, sex",636,
"Waimarama","Total people, usual residence five years ago","Total people, age group","Total people, sex",1086,
"Tutira","Total people, usual residence five years ago","Total people, age group","Total people, sex",585,
"Puketitiri","Total people, usual residence five years ago","Total people, age group","Total people, sex",363,
"Whanawhana","Total people, usual residence five years ago","Total people, age group","Total people, sex",231,
"Mahora","Total people, usual residence five years ago","Total people, age group","Total people, sex",3567,
"St Leonards","Total people, usual residence five years ago","Total people, age group","Total people, sex",2892,
"Frimley","Total people, usual residence five years ago","Total people, age group","Total people, sex",2274,
"Raureka","Total people, usual residence five years ago","Total people, age group","Total people, sex",4221,
"Mayfair","Total people, usual residence five years ago","Total people, age group","Total people, sex",4191,
"Parkvale","Total people, usual residence five years ago","Total people, age group","Total people, sex",3123,
"Hastings Central","Total people, usual residence five years ago","Total people, age group","Total people, sex",2817,
"Akina","Total people, usual residence five years ago","Total people, age group","Total people, sex",4497,
"Woolwich","Total people, usual residence five years ago","Total people, age group","Total people, sex",33,
"Camberley","Total people, usual residence five years ago","Total people, age group","Total people, sex",1881,
"Kingsley-Chatham","Total people, usual residence five years ago","Total people, age group","Total people, sex",3003,
"Lochain","Total people, usual residence five years ago","Total people, age group","Total people, sex",2730,
"Flaxmere East","Total people, usual residence five years ago","Total people, age group","Total people, sex",3639,
"Anderson Park","Total people, usual residence five years ago","Total people, age group","Total people, sex",1482,
"Iona","Total people, usual residence five years ago","Total people, age group","Total people, sex",2916,
"Havelock Hills","Total people, usual residence five years ago","Total people, age group","Total people, sex",954,
"Te Mata","Total people, usual residence five years ago","Total people, age group","Total people, sex",3624,
"Havelock North Central","Total people, usual residence five years ago","Total people, age group","Total people, sex",3090,
"Te Mata Hills","Total people, usual residence five years ago","Total people, age group","Total people, sex",1002,
"Bay View","Total people, usual residence five years ago","Total people, age group","Total people, sex",1923,
"Poraiti","Total people, usual residence five years ago","Total people, age group","Total people, sex",1872,
"Meeanee","Total people, usual residence five years ago","Total people, age group","Total people, sex",1677,
"Awatoto","Total people, usual residence five years ago","Total people, age group","Total people, sex",306,
"Westshore","Total people, usual residence five years ago","Total people, age group","Total people, sex",1059,
"Ahuriri","Total people, usual residence five years ago","Total people, age group","Total people, sex",1089,
"Onekawa Central","Total people, usual residence five years ago","Total people, age group","Total people, sex",1320,
"Onekawa West","Total people, usual residence five years ago","Total people, age group","Total people, sex",243,
"Onekawa South","Total people, usual residence five years ago","Total people, age group","Total people, sex",4344,
"Marewa","Total people, usual residence five years ago","Total people, age group","Total people, sex",4674,
"Maraenui","Total people, usual residence five years ago","Total people, age group","Total people, sex",3096,
"Hospital Hill","Total people, usual residence five years ago","Total people, age group","Total people, sex",2655,
"Bluff Hill","Total people, usual residence five years ago","Total people, age group","Total people, sex",2697,
"Nelson Park","Total people, usual residence five years ago","Total people, age group","Total people, sex",2451,
"Mclean Park","Total people, usual residence five years ago","Total people, age group","Total people, sex",2355,
"Tamatea North","Total people, usual residence five years ago","Total people, age group","Total people, sex",2481,
"Tamatea South","Total people, usual residence five years ago","Total people, age group","Total people, sex",2559,
"Greenmeadows","Total people, usual residence five years ago","Total people, age group","Total people, sex",6393,
"Taradale North","Total people, usual residence five years ago","Total people, age group","Total people, sex",5226,
"Taradale South","Total people, usual residence five years ago","Total people, age group","Total people, sex",5433,
"Pirimai","Total people, usual residence five years ago","Total people, age group","Total people, sex",3393,
"Takapau","Total people, usual residence five years ago","Total people, age group","Total people, sex",525,
"Waipawa","Total people, usual residence five years ago","Total people, age group","Total people, sex",1968,
"Tikokino","Total people, usual residence five years ago","Total people, age group","Total people, sex",2730,
"Otane","Total people, usual residence five years ago","Total people, age group","Total people, sex",537,
"Waipukurau","Total people, usual residence five years ago","Total people, age group","Total people, sex",3741,
"Porangahau","Total people, usual residence five years ago","Total people, age group","Total people, sex",198,
"Elsthorpe-Flemington","Total people, usual residence five years ago","Total people, age group","Total people, sex",3024,
"Urenui","Total people, usual residence five years ago","Total people, age group","Total people, sex",429,
"Okoki-Okau","Total people, usual residence five years ago","Total people, age group","Total people, sex",2169,
"Oakura","Total people, usual residence five years ago","Total people, age group","Total people, sex",1380,
"Bell Block","Total people, usual residence five years ago","Total people, age group","Total people, sex",5277,
"Paraite","Total people, usual residence five years ago","Total people, age group","Total people, sex",381,
"Glen Avon","Total people, usual residence five years ago","Total people, age group","Total people, sex",870,
"Bowden","Total people, usual residence five years ago","Total people, age group","Total people, sex",468,
"Mangaoraka","Total people, usual residence five years ago","Total people, age group","Total people, sex",867,
"Carrington","Total people, usual residence five years ago","Total people, age group","Total people, sex",816,
"Highlands Park","Total people, usual residence five years ago","Total people, age group","Total people, sex",3024,
"Fernleigh","Total people, usual residence five years ago","Total people, age group","Total people, sex",831,
"Barrett","Total people, usual residence five years ago","Total people, age group","Total people, sex",2094,
"Omata","Total people, usual residence five years ago","Total people, age group","Total people, sex",540,
"Lepperton","Total people, usual residence five years ago","Total people, age group","Total people, sex",2379,
"Kaitake","Total people, usual residence five years ago","Total people, age group","Total people, sex",2862,
"Okato","Total people, usual residence five years ago","Total people, age group","Total people, sex",561,
"Waitara West","Total people, usual residence five years ago","Total people, age group","Total people, sex",3672,
"Waitara East","Total people, usual residence five years ago","Total people, age group","Total people, sex",2811,
"Moturoa","Total people, usual residence five years ago","Total people, age group","Total people, sex",3348,
"Lynmouth","Total people, usual residence five years ago","Total people, age group","Total people, sex",2181,
"Spotswood","Total people, usual residence five years ago","Total people, age group","Total people, sex",2016,
"Marfell","Total people, usual residence five years ago","Total people, age group","Total people, sex",2040,
"Upper Westown","Total people, usual residence five years ago","Total people, age group","Total people, sex",1578,
"Westown","Total people, usual residence five years ago","Total people, age group","Total people, sex",3414,
"New Plymouth Central","Total people, usual residence five years ago","Total people, age group","Total people, sex",675,
"Kawaroa","Total people, usual residence five years ago","Total people, age group","Total people, sex",1911,
"Mount Bryan","Total people, usual residence five years ago","Total people, age group","Total people, sex",870,
"Marsland Hill","Total people, usual residence five years ago","Total people, age group","Total people, sex",1329,
"Fitzroy","Total people, usual residence five years ago","Total people, age group","Total people, sex",3750,
"Welbourn","Total people, usual residence five years ago","Total people, age group","Total people, sex",1842,
"Merrilands","Total people, usual residence five years ago","Total people, age group","Total people, sex",2811,
"Frankleigh","Total people, usual residence five years ago","Total people, age group","Total people, sex",3456,
"Struan Park","Total people, usual residence five years ago","Total people, age group","Total people, sex",4905,
"Egmont Village","Total people, usual residence five years ago","Total people, age group","Total people, sex",594,
"Kaimata","Total people, usual residence five years ago","Total people, age group","Total people, sex",2778,
"Inglewood","Total people, usual residence five years ago","Total people, age group","Total people, sex",3246,
"Midhirst","Total people, usual residence five years ago","Total people, age group","Total people, sex",237,
"Whangamomona","Total people, usual residence five years ago","Total people, age group","Total people, sex",147,
"Douglas","Total people, usual residence five years ago","Total people, age group","Total people, sex",729,
"Toko","Total people, usual residence five years ago","Total people, age group","Total people, sex",1188,
"Pembroke","Total people, usual residence five years ago","Total people, age group","Total people, sex",1227,
"Stratford West","Total people, usual residence five years ago","Total people, age group","Total people, sex",3267,
"Stratford East","Total people, usual residence five years ago","Total people, age group","Total people, sex",2199,
"Opunake","Total people, usual residence five years ago","Total people, age group","Total people, sex",1335,
"Rahotu","Total people, usual residence five years ago","Total people, age group","Total people, sex",252,
"Kahui","Total people, usual residence five years ago","Total people, age group","Total people, sex",2604,
"Kaponga","Total people, usual residence five years ago","Total people, age group","Total people, sex",306,
"Mangatoki-Moeroa","Total people, usual residence five years ago","Total people, age group","Total people, sex",1698,
"Eltham","Total people, usual residence five years ago","Total people, age group","Total people, sex",1944,
"Kapuni","Total people, usual residence five years ago","Total people, age group","Total people, sex",1317,
"Manaia","Total people, usual residence five years ago","Total people, age group","Total people, sex",963,
"Normanby","Total people, usual residence five years ago","Total people, age group","Total people, sex",888,
"Hawera North","Total people, usual residence five years ago","Total people, age group","Total people, sex",3870,
"Hawera South","Total people, usual residence five years ago","Total people, age group","Total people, sex",3870,
"Ohawe Beach","Total people, usual residence five years ago","Total people, age group","Total people, sex",687,
"Tawhiti","Total people, usual residence five years ago","Total people, age group","Total people, sex",732,
"Waingongoro","Total people, usual residence five years ago","Total people, age group","Total people, sex",396,
"Hawera West","Total people, usual residence five years ago","Total people, age group","Total people, sex",777,
"Ohangai","Total people, usual residence five years ago","Total people, age group","Total people, sex",570,
"Okaiawa","Total people, usual residence five years ago","Total people, age group","Total people, sex",537,
"Waitotara","Total people, usual residence five years ago","Total people, age group","Total people, sex",66,
"Whenuakura","Total people, usual residence five years ago","Total people, age group","Total people, sex",1068,
"Makakaho","Total people, usual residence five years ago","Total people, age group","Total people, sex",810,
"Patea","Total people, usual residence five years ago","Total people, age group","Total people, sex",1098,
"Waverley","Total people, usual residence five years ago","Total people, age group","Total people, sex",798,
"Owhango","Total people, usual residence five years ago","Total people, age group","Total people, sex",177,
"Ohura","Total people, usual residence five years ago","Total people, age group","Total people, sex",126,
"Ngapuke","Total people, usual residence five years ago","Total people, age group","Total people, sex",1560,
"Raurimu","Total people, usual residence five years ago","Total people, age group","Total people, sex",534,
"National Park","Total people, usual residence five years ago","Total people, age group","Total people, sex",174,
"Otangiwai-Heao","Total people, usual residence five years ago","Total people, age group","Total people, sex",822,
"Tarrangower","Total people, usual residence five years ago","Total people, age group","Total people, sex",1155,
"Taumarunui Central","Total people, usual residence five years ago","Total people, age group","Total people, sex",2271,
"Sunshine-Hospital Hill","Total people, usual residence five years ago","Total people, age group","Total people, sex",531,
"Manunui","Total people, usual residence five years ago","Total people, age group","Total people, sex",546,
"Tangiwai","Total people, usual residence five years ago","Total people, age group","Total people, sex",1218,
"Ohakune","Total people, usual residence five years ago","Total people, age group","Total people, sex",987,
"Raetihi","Total people, usual residence five years ago","Total people, age group","Total people, sex",1002,
"Waiouru","Total people, usual residence five years ago","Total people, age group","Total people, sex",741,
"Otamatea","Total people, usual residence five years ago","Total people, age group","Total people, sex",1284,
"Blueskin","Total people, usual residence five years ago","Total people, age group","Total people, sex",1767,
"Maxwell","Total people, usual residence five years ago","Total people, age group","Total people, sex",1644,
"Castlecliff North","Total people, usual residence five years ago","Total people, age group","Total people, sex",1956,
"Castlecliff South","Total people, usual residence five years ago","Total people, age group","Total people, sex",1254,
"Mosston","Total people, usual residence five years ago","Total people, age group","Total people, sex",1062,
"Balgownie","Total people, usual residence five years ago","Total people, age group","Total people, sex",222,
"Tawhero","Total people, usual residence five years ago","Total people, age group","Total people, sex",1815,
"Gonville South","Total people, usual residence five years ago","Total people, age group","Total people, sex",2991,
"Gonville East","Total people, usual residence five years ago","Total people, age group","Total people, sex",1305,
"Gonville West","Total people, usual residence five years ago","Total people, age group","Total people, sex",1548,
"Springvale West","Total people, usual residence five years ago","Total people, age group","Total people, sex",1356,
"Springvale East","Total people, usual residence five years ago","Total people, age group","Total people, sex",1902,
"Wanganui Collegiate","Total people, usual residence five years ago","Total people, age group","Total people, sex",1146,
"Laird Park","Total people, usual residence five years ago","Total people, age group","Total people, sex",2172,
"Wanganui Central","Total people, usual residence five years ago","Total people, age group","Total people, sex",1215,
"Spriggens Park","Total people, usual residence five years ago","Total people, age group","Total people, sex",306,
"Cooks Gardens","Total people, usual residence five years ago","Total people, age group","Total people, sex",276,
"St Johns Hill","Total people, usual residence five years ago","Total people, age group","Total people, sex",2115,
"Lower Aramoho","Total people, usual residence five years ago","Total people, age group","Total people, sex",1707,
"Upper Aramoho","Total people, usual residence five years ago","Total people, age group","Total people, sex",1986,
"Williams Domain","Total people, usual residence five years ago","Total people, age group","Total people, sex",2136,
"Wembley Park","Total people, usual residence five years ago","Total people, age group","Total people, sex",1584,
"Kowhai Park","Total people, usual residence five years ago","Total people, age group","Total people, sex",2070,
"Bastia Hill","Total people, usual residence five years ago","Total people, age group","Total people, sex",645,
"Durie Hill","Total people, usual residence five years ago","Total people, age group","Total people, sex",1458,
"Putiki","Total people, usual residence five years ago","Total people, age group","Total people, sex",321,
"Marybank-Gordon Park","Total people, usual residence five years ago","Total people, age group","Total people, sex",486,
"Fordell-Kakatahi","Total people, usual residence five years ago","Total people, age group","Total people, sex",2418,
"Mangaweka","Total people, usual residence five years ago","Total people, age group","Total people, sex",147,
"Hunterville","Total people, usual residence five years ago","Total people, age group","Total people, sex",426,
"Ratana Community","Total people, usual residence five years ago","Total people, age group","Total people, sex",327,
"Bulls","Total people, usual residence five years ago","Total people, age group","Total people, sex",1518,
"Ngamatea","Total people, usual residence five years ago","Total people, age group","Total people, sex",27,
"Moawhango","Total people, usual residence five years ago","Total people, age group","Total people, sex",651,
"Pohonui-Porewa","Total people, usual residence five years ago","Total people, age group","Total people, sex",2031,
"Lake Alice","Total people, usual residence five years ago","Total people, age group","Total people, sex",2727,
"Koitiata","Total people, usual residence five years ago","Total people, age group","Total people, sex",108,
"Taihape","Total people, usual residence five years ago","Total people, age group","Total people, sex",1512,
"Marton","Total people, usual residence five years ago","Total people, age group","Total people, sex",4548,
"Kiwitea","Total people, usual residence five years ago","Total people, age group","Total people, sex",1443,
"Pohangina","Total people, usual residence five years ago","Total people, age group","Total people, sex",1092,
"Oroua Bridge","Total people, usual residence five years ago","Total people, age group","Total people, sex",231,
"Maewa","Total people, usual residence five years ago","Total people, age group","Total people, sex",918,
"Halcombe","Total people, usual residence five years ago","Total people, age group","Total people, sex",534,
"Tokorangi-Hiwinui","Total people, usual residence five years ago","Total people, age group","Total people, sex",2403,
"Feilding North","Total people, usual residence five years ago","Total people, age group","Total people, sex",4026,
"Feilding West","Total people, usual residence five years ago","Total people, age group","Total people, sex",3768,
"Feilding Central","Total people, usual residence five years ago","Total people, age group","Total people, sex",2718,
"Feilding East","Total people, usual residence five years ago","Total people, age group","Total people, sex",2862,
"Sanson","Total people, usual residence five years ago","Total people, age group","Total people, sex",534,
"Rongotea","Total people, usual residence five years ago","Total people, age group","Total people, sex",594,
"Tangimoana","Total people, usual residence five years ago","Total people, age group","Total people, sex",198,
"Himatangi Beach","Total people, usual residence five years ago","Total people, age group","Total people, sex",429,
"Rakiraki","Total people, usual residence five years ago","Total people, age group","Total people, sex",300,
"Ohakea","Total people, usual residence five years ago","Total people, age group","Total people, sex",249,
"Oroua Downs-Waitohi","Total people, usual residence five years ago","Total people, age group","Total people, sex",3207,
"Kauwhata","Total people, usual residence five years ago","Total people, age group","Total people, sex",1947,
"Ashhurst","Total people, usual residence five years ago","Total people, age group","Total people, sex",2778,
"Stoney Creek","Total people, usual residence five years ago","Total people, age group","Total people, sex",846,
"Whakarongo","Total people, usual residence five years ago","Total people, age group","Total people, sex",942,
"Kairanga","Total people, usual residence five years ago","Total people, age group","Total people, sex",876,
"Longburn","Total people, usual residence five years ago","Total people, age group","Total people, sex",651,
"Massey University","Total people, usual residence five years ago","Total people, age group","Total people, sex",771,
"Linton Military Camp","Total people, usual residence five years ago","Total people, age group","Total people, sex",1347,
"Turitea","Total people, usual residence five years ago","Total people, age group","Total people, sex",1875,
"Milson","Total people, usual residence five years ago","Total people, age group","Total people, sex",5508,
"Kelvin Grove","Total people, usual residence five years ago","Total people, age group","Total people, sex",6771,
"Takaro","Total people, usual residence five years ago","Total people, age group","Total people, sex",5253,
"Cloverlea","Total people, usual residence five years ago","Total people, age group","Total people, sex",1923,
"Palmerston North Hospital","Total people, usual residence five years ago","Total people, age group","Total people, sex",2601,
"Papaeoia","Total people, usual residence five years ago","Total people, age group","Total people, sex",2649,
"Roslyn","Total people, usual residence five years ago","Total people, age group","Total people, sex",5601,
"Terrace End","Total people, usual residence five years ago","Total people, age group","Total people, sex",2967,
"Highbury","Total people, usual residence five years ago","Total people, age group","Total people, sex",3117,
"Westbrook","Total people, usual residence five years ago","Total people, age group","Total people, sex",4002,
"Palmerston North Central","Total people, usual residence five years ago","Total people, age group","Total people, sex",2865,
"Awapuni North","Total people, usual residence five years ago","Total people, age group","Total people, sex",3324,
"Awapuni West","Total people, usual residence five years ago","Total people, age group","Total people, sex",1416,
"Awapuni South","Total people, usual residence five years ago","Total people, age group","Total people, sex",3210,
"West End","Total people, usual residence five years ago","Total people, age group","Total people, sex",4716,
"Hokowhitu West","Total people, usual residence five years ago","Total people, age group","Total people, sex",4155,
"Hokowhitu Lagoon","Total people, usual residence five years ago","Total people, age group","Total people, sex",1512,
"Hokowhitu East","Total people, usual residence five years ago","Total people, age group","Total people, sex",4968,
"Aokautere","Total people, usual residence five years ago","Total people, age group","Total people, sex",3438,
"Norsewood-Herbertville","Total people, usual residence five years ago","Total people, age group","Total people, sex",3402,
"Owahanga","Total people, usual residence five years ago","Total people, age group","Total people, sex",498,
"Mara","Total people, usual residence five years ago","Total people, age group","Total people, sex",6,
"Dannevirke West","Total people, usual residence five years ago","Total people, age group","Total people, sex",2100,
"Dannevirke East","Total people, usual residence five years ago","Total people, age group","Total people, sex",2943,
"Papatawa","Total people, usual residence five years ago","Total people, age group","Total people, sex",1071,
"Woodville","Total people, usual residence five years ago","Total people, age group","Total people, sex",1398,
"Mangatainoka","Total people, usual residence five years ago","Total people, age group","Total people, sex",1560,
"Pahiatua","Total people, usual residence five years ago","Total people, age group","Total people, sex",2409,
"Eketahuna","Total people, usual residence five years ago","Total people, age group","Total people, sex",441,
"Nireaha-Tiraumea","Total people, usual residence five years ago","Total people, age group","Total people, sex",1020,
"Foxton Beach","Total people, usual residence five years ago","Total people, age group","Total people, sex",1644,
"Moutoa","Total people, usual residence five years ago","Total people, age group","Total people, sex",921,
"Foxton","Total people, usual residence five years ago","Total people, age group","Total people, sex",2643,
"Shannon","Total people, usual residence five years ago","Total people, age group","Total people, sex",1242,
"Waitarere","Total people, usual residence five years ago","Total people, age group","Total people, sex",585,
"Tokomaru","Total people, usual residence five years ago","Total people, age group","Total people, sex",552,
"Opiki","Total people, usual residence five years ago","Total people, age group","Total people, sex",525,
"Lake Horowhenua","Total people, usual residence five years ago","Total people, age group","Total people, sex",756,
"Waiopehu","Total people, usual residence five years ago","Total people, age group","Total people, sex",1521,
"Kohitere","Total people, usual residence five years ago","Total people, age group","Total people, sex",834,
"Mangaore-Manakau","Total people, usual residence five years ago","Total people, age group","Total people, sex",3141,
"Levin North","Total people, usual residence five years ago","Total people, age group","Total people, sex",3489,
"Levin West","Total people, usual residence five years ago","Total people, age group","Total people, sex",2670,
"Playford Park","Total people, usual residence five years ago","Total people, age group","Total people, sex",3339,
"Levin South","Total people, usual residence five years ago","Total people, age group","Total people, sex",1815,
"Levin East","Total people, usual residence five years ago","Total people, age group","Total people, sex",4428,
"Waikanae Beach","Total people, usual residence five years ago","Total people, age group","Total people, sex",3051,
"Waikanae East","Total people, usual residence five years ago","Total people, age group","Total people, sex",2178,
"Peka Peka","Total people, usual residence five years ago","Total people, age group","Total people, sex",360,
"Waikanae Park","Total people, usual residence five years ago","Total people, age group","Total people, sex",1950,
"Waikanae West","Total people, usual residence five years ago","Total people, age group","Total people, sex",3459,
"Kaitawa","Total people, usual residence five years ago","Total people, age group","Total people, sex",543,
"Otaki Forks","Total people, usual residence five years ago","Total people, age group","Total people, sex",1488,
"Te Horo","Total people, usual residence five years ago","Total people, age group","Total people, sex",807,
"Otaki","Total people, usual residence five years ago","Total people, age group","Total people, sex",5778,
"Paraparaumu Beach North","Total people, usual residence five years ago","Total people, age group","Total people, sex",3564,
"Otaihanga","Total people, usual residence five years ago","Total people, age group","Total people, sex",1206,
"Paraparaumu Beach South","Total people, usual residence five years ago","Total people, age group","Total people, sex",4941,
"Paraparaumu Central","Total people, usual residence five years ago","Total people, age group","Total people, sex",8682,
"Raumati Beach","Total people, usual residence five years ago","Total people, age group","Total people, sex",4848,
"Raumati South","Total people, usual residence five years ago","Total people, age group","Total people, sex",3594,
"Paekakariki","Total people, usual residence five years ago","Total people, age group","Total people, sex",1665,
"Kapiti Island","Total people, usual residence five years ago","Total people, age group","Total people, sex",9,
"Maungakotukutuku","Total people, usual residence five years ago","Total people, age group","Total people, sex",978,
"Pauatahanui","Total people, usual residence five years ago","Total people, age group","Total people, sex",1080,
"Endeavour","Total people, usual residence five years ago","Total people, age group","Total people, sex",3765,
"Resolution","Total people, usual residence five years ago","Total people, age group","Total people, sex",135,
"Adventure","Total people, usual residence five years ago","Total people, age group","Total people, sex",1356,
"Paekakariki Hill","Total people, usual residence five years ago","Total people, age group","Total people, sex",147,
"Titahi Bay North","Total people, usual residence five years ago","Total people, age group","Total people, sex",2457,
"Onepoto","Total people, usual residence five years ago","Total people, age group","Total people, sex",1800,
"Titahi Bay South","Total people, usual residence five years ago","Total people, age group","Total people, sex",3564,
"Elsdon-Takapuwahia","Total people, usual residence five years ago","Total people, age group","Total people, sex",2211,
"Porirua Central","Total people, usual residence five years ago","Total people, age group","Total people, sex",378,
"Porirua East","Total people, usual residence five years ago","Total people, age group","Total people, sex",2043,
"Ranui Heights","Total people, usual residence five years ago","Total people, age group","Total people, sex",1359,
"Cannons Creek North","Total people, usual residence five years ago","Total people, age group","Total people, sex",3135,
"Cannons Creek South","Total people, usual residence five years ago","Total people, age group","Total people, sex",1530,
"Cannons Creek East","Total people, usual residence five years ago","Total people, age group","Total people, sex",3594,
"Waitangirua","Total people, usual residence five years ago","Total people, age group","Total people, sex",4023,
"Papakowhai North","Total people, usual residence five years ago","Total people, age group","Total people, sex",2283,
"Papakowhai South","Total people, usual residence five years ago","Total people, age group","Total people, sex",2292,
"Ascot Park","Total people, usual residence five years ago","Total people, age group","Total people, sex",2670,
"Pukerua Bay","Total people, usual residence five years ago","Total people, age group","Total people, sex",1896,
"Plimmerton","Total people, usual residence five years ago","Total people, age group","Total people, sex",2115,
"Mana-Camborne","Total people, usual residence five years ago","Total people, age group","Total people, sex",2553,
"Paremata-Postgate","Total people, usual residence five years ago","Total people, age group","Total people, sex",2547,
"Discovery","Total people, usual residence five years ago","Total people, age group","Total people, sex",2751,
"Mana Island","Total people, usual residence five years ago","Total people, age group","Total people, sex",3,
"Inlet-Porirua Harbour","Total people, usual residence five years ago","Total people, age group","Total people, sex",27,
"Heretaunga","Total people, usual residence five years ago","Total people, age group","Total people, sex",1194,
"Trentham South","Total people, usual residence five years ago","Total people, age group","Total people, sex",1128,
"Pinehaven","Total people, usual residence five years ago","Total people, age group","Total people, sex",2691,
"Moonshine Valley","Total people, usual residence five years ago","Total people, age group","Total people, sex",198,
"Riverstone Terraces","Total people, usual residence five years ago","Total people, age group","Total people, sex",1383,
"Te Marua","Total people, usual residence five years ago","Total people, age group","Total people, sex",1152,
"Akatarawa","Total people, usual residence five years ago","Total people, age group","Total people, sex",567,
"Emerald Hill","Total people, usual residence five years ago","Total people, age group","Total people, sex",2760,
"Maoribank","Total people, usual residence five years ago","Total people, age group","Total people, sex",2832,
"Clouston Park","Total people, usual residence five years ago","Total people, age group","Total people, sex",2460,
"Totara Park","Total people, usual residence five years ago","Total people, age group","Total people, sex",2871,
"Ebdentown","Total people, usual residence five years ago","Total people, age group","Total people, sex",2163,
"Upper Hutt Central","Total people, usual residence five years ago","Total people, age group","Total people, sex",309,
"Maidstone","Total people, usual residence five years ago","Total people, age group","Total people, sex",111,
"Wallaceville","Total people, usual residence five years ago","Total people, age group","Total people, sex",2154,
"Elderslea","Total people, usual residence five years ago","Total people, age group","Total people, sex",3243,
"Poets Block","Total people, usual residence five years ago","Total people, age group","Total people, sex",2223,
"Brentwood","Total people, usual residence five years ago","Total people, age group","Total people, sex",2097,
"Trentham North","Total people, usual residence five years ago","Total people, age group","Total people, sex",2943,
